Time,SVID,S4_index,Dlat_IPP,Dlong_IPP,VTEC
2025-09-17 22:32:00,201,0.05,8.593736305443564,41.99842616759463,-57.52805215822192
2025-09-17 22:32:00,142,0.04,8.432582228594432,42.56483691860849,10.282602728176457
2025-09-17 22:32:00,145,0.06,8.399285172247641,40.136530339555044,5.715660441643441
2025-09-17 22:32:00,148,0.04,11.666041480127141,42.54669622443418,17.03461622025591
2025-09-17 22:32:00,150,0.07,10.977707858966165,45.667880742057264,14.16792060847405
2025-09-17 22:32:00,152,0.3,11.182617766312033,35.865175614423464,15.225008456482112
2025-09-17 22:32:00,153,0.03,10.760762447300587,41.97781135479402,15.414357411257583
2025-09-17 22:32:00,161,0.08,2.1703846683955605,39.88703251555994,
2025-09-17 22:32:00,162,0.06,6.543311293644164,44.01517340494672,
2025-09-17 22:32:00,164,0.12,11.299939819458745,36.54980859201576,
